"result1","result2","result3","result4"
"1",49.83,50.5,37.1499999999978,42.1100000000006
"2",93.79,97.9400000000005,56.9399999999987,43.5200000000004
"3",140.33,151.550000000001,79.0300000000025,80.3600000000006
"4",196.24,195.07,118.880000000001,119.84
"5",249.27,243.52,153.049999999999,118.599999999999
"6",300.76,283.369999999999,181.860000000001,158.889999999999
"7",353.58,331.950000000001,197.919999999998,197.450000000001
"8",387.72,383.549999999999,230.860000000001,200.41
"9",433.75,432.400000000001,269.810000000001,237.369999999999
"10",481.17,465.83,291.619999999999,275.540000000001
"11",530.58,510.73,307.34,278.009999999998
"12",581.4,574.73,351.57,307.920000000002
"13",623.3,625.360000000001,392.84,343.049999999999
"14",672.76,676.02,409.450000000001,347.799999999999
"15",697.55,706.67,432.73,379.690000000002
"16",740.17,780.860000000001,463.690000000002,422.779999999999
"17",789.37,795.09,504.610000000001,419.66
"18",840.56,845.280000000002,525.130000000001,457.280000000002
"19",904.92,894.370000000003,544.559999999998,497.560000000001
"20",957.200000000001,938.259999999998,569.84,500.549999999999
